SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, RTC, 
1654657793.8912227, 22.6716796875, 27.90309635264927, 858.3628385670459, 0.45, -0.21, 10.06, 0.01, 0.01, 0.00, 859.0934156615376, 3:9:50, 
1654657793.9595625, 22.6666015625, 27.84736997171612, 858.3701490870118, 0.45, -0.21, 10.06, 0.02, 0.02, 0.00, 859.1146057650758, 3:9:50, 
1654657794.0278442, 22.6666015625, 27.83081357196674, 858.2680429465622, 0.45, -0.21, 10.06, 0.02, 0.01, 0.00, 859.105359174441, 3:9:50, 
1654657794.096084, 22.6716796875, 27.763964324425437, 858.3701490870118, 0.45, -0.21, 10.06, 0.01, 0.02, 0.00, 859.0975252573753, 3:9:50, 
1654657794.1643412, 22.6716796875, 27.930773596557373, 858.3555280744033, 0.45, -0.21, 10.06, 0.02, 0.01, 0.01, 859.14247396185, 3:9:50, 
1654657794.2327096, 22.6666015625, 27.830564426057805, 858.3354848106611, 0.45, -0.21, 10.06, 0.02, 0.02, 0.00, 859.1614808425993, 3:9:51, 
1654657794.3010278, 22.6666015625, 27.808322755144864, 858.3227512532487, 0.45, -0.21, 10.06, 0.01, 0.01, 0.00, 859.1107530189779, 3:9:51, 
1654657794.369366, 22.6716796875, 28.019612822008128, 858.300821023659, 0.45, -0.21, 10.06, 0.03, 0.01, 0.00, 859.1199996096127, 3:9:51, 
1654657794.4442966, 22.6666015625, 28.00317769504508, 858.3354848106611, 0.45, -0.21, 10.06, 0.02, 0.01, 0.00, 859.0393487912982, 3:9:51, 
1654657794.5126045, 22.6767578125, 27.86973525801497, 858.246114047275, 0.42, -0.22, 10.05, 0.02, 0.01, 0.00, 859.1381075162725, 3:9:51, 
1654657794.580536, 22.6767578125, 27.79732682603564, 858.3555280744033, 0.42, -0.22, 10.05, 0.02, 0.01, 0.00, 859.1038180760019, 3:9:51, 
1654657794.648724, 22.6666015625, 28.03085527673363, 858.3701490870118, 0.42, -0.22, 10.05, 0.02, 0.01, 0.00, 859.085710169342, 3:9:51, 
1654657794.7220204, 22.6716796875, 28.05321727414524, 858.260733286146, 0.42, -0.22, 10.05, 0.02, 0.01, 0.00, 859.0582272471775, 3:9:51, 
1654657794.7905958, 22.6666015625, 28.041975283646597, 858.3154411493974, 0.42, -0.22, 10.05, 0.02, 0.00, -0.00, 859.0876365423909, 3:9:51, 
1654657794.8591263, 22.6767578125, 27.958451242763246, 858.3354848106611, 0.42, -0.22, 10.05, 0.02, 0.02, 0.01, 859.1049738998312, 3:9:51, 
1654657794.9274268, 22.6767578125, 28.030732992288257, 858.3427951089092, 0.42, -0.22, 10.05, 0.01, 0.01, 0.00, 859.0884070916105, 3:9:51, 
1654657794.9958265, 22.6767578125, 28.069775143627393, 858.3701490870118, 0.42, -0.22, 10.05, 0.02, 0.01, 0.00, 859.0297169260534, 3:9:51, 
1654657795.064013, 22.6767578125, 27.8419340986371, 858.4048138527114, 0.42, -0.22, 10.05, 0.02, 0.02, 0.00, 859.0347254959808, 3:9:51, 
