SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, RTC, 
1654877318.1496203, 1, 23.9986328125, 34.30570484369699, 860.0273527400221, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.02, 0.00, 0.01, 860.8144373434395, 860.3583962384588, 25.346115379333497, 16:8:34, 
1654877318.2304318, 3, 23.983203125, 34.30581061172609, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.733401250515, 860.3583962384588, 25.346115379333497, 16:8:34, 
1654877318.305217, 0, 23.978125, 34.289006109531286, 860.0325356204053, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.5916201941149, 860.4557120488188, 25.346115379333497, 16:8:34, 
1654877318.3795426, 2, 23.983203125, 34.361260153720046, 860.0474485035854, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.02, 0.00, 860.6178188675801, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877318.4575891, 0, 23.983203125, 34.394763384897395, 859.9777138704013, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.02, 0.00, 860.7771941311605, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877318.536896, 1, 23.983203125, 34.43362090141438, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.03, 0.01, 0.00, 860.7133669708063, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877318.6112535, 1, 23.983203125, 34.37249896659992, 859.9926258492113, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.02, 0.01, 0.00, 860.6229558623772, 860.3583962384588, 25.346115379333497, 16:8:35, 
1654877318.6853282, 1, 23.983203125, 34.52829649650736, 860.0072565783057, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.03, 0.01, 0.00, 860.7298053541571, 860.4281949637062, 25.328697776794435, 16:8:35, 
1654877318.7593298, 1, 23.9935546875, 34.53937616844775, 859.9926258492113, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.6966717377157, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877318.8334146, 1, 23.9935546875, 34.54504442442201, 859.9777138704013, -, -, -, -, -, -, -, -, -, -, 0.36, -0.27, 10.07, 0.01, 0.01, 0.00, 860.6646939451037, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877318.9181824, 1, 23.983203125, 34.22221035910864, 859.9777138704013, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.01, 0.01, 860.690892618569, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877319.0044882, 0, 23.9935546875, 34.54504442442201, 859.9850291668259, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.02, 0.02, 0.01, 860.7206871883923, 860.4557120488188, 25.346115379333497, 16:8:35, 
1654877319.0785344, 2, 23.98828125, 34.372446829219236, 860.0474485035854, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.02, 0.01, 0.00, 860.5976561630015, 860.4281949637062, 25.328697776794435, 16:8:35, 
1654877319.1524909, 1, 23.98828125, 34.34456130262403, 859.9999412003417, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.00, 0.01, 860.7599851985901, 860.3583962384588, 25.346115379333497, 16:8:35, 
1654877319.226441, 3, 23.9935546875, 34.51159865694367, 859.9652145500252, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.01, -0.00, 860.7576735509315, 860.3583962384588, 25.346115379333497, 16:8:35, 
1654877319.3003924, 0, 23.9935546875, 34.40573824841584, 860.0273527400221, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.03, 0.01, -0.00, 860.6185894167996, 860.3583962384588, 25.346115379333497, 16:8:35, 
1654877319.374146, 1, 23.9935546875, 34.33899500084097, 860.0273527400221, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.02, 0.01, 860.7359697479136, 860.3583962384588, 25.346115379333497, 16:8:35, 
1654877319.4519892, 1, 23.983203125, 34.42810823845767, 860.0325356204053, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.02, 0.01, 0.00, 860.7050193542611, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.5310233, 2, 23.98828125, 34.51711217296977, 859.9652145500252, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.02, 0.00, 860.6915347429186, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.6051624, 0, 23.9986328125, 34.32219057281872, 859.9798448354653, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.01, 0.02, 0.00, 860.7945314886007, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.6789703, 1, 23.9935546875, 34.617200272945325, 859.9999412003417, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.02, 0.01, 0.00, 860.717476566644, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.7590945, 1, 23.98828125, 34.372392675906404, 860.0072565783057, -, -, -, -, -, -, -, -, -, -, 0.38, -0.12, 10.03, 0.02, 0.02, 0.00, 860.7723139861032, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.8329678, 1, 23.9935546875, 34.37795892343629, 860.0346683398138, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.00, 860.719402939693, 860.3583962384588, 25.346115379333497, 16:8:36, 
1654877319.9178016, 0, 23.9986328125, 34.350127595364896, 859.9798448354653, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.03, 0.01, 0.00, 860.6483839866229, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877319.996981, 0, 23.9935546875, 34.40568646131857, 859.9926258492113, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.00, 860.7150364941155, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877320.071176, 0, 23.9986328125, 34.283225128571324, 860.0547642983703, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.00, 0.00, 860.7083584008792, 860.4281949637062, 25.328697776794435, 16:8:36, 
1654877320.145204, 0, 23.9935546875, 34.656259771130735, 859.952433111293, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.00, 0.00, 860.7793773539493, 860.3583962384588, 25.346115379333497, 16:8:36, 
1654877320.2191722, 0, 23.9986328125, 34.595035524189, 860.0273527400221, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.00, 860.6976991366752, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877320.293181, 0, 23.9986328125, 34.249879388165844, 860.0346683398138, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.01, 860.7409783178408, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877320.3672948, 0, 24.0037109375, 34.261012399000435, 860.0218874147279, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.01, 0.00, 860.7000107843338, 860.4557120488188, 25.346115379333497, 16:8:36, 
1654877320.4454653, 0, 23.9986328125, 34.51706166538432, 860.0894919188333, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.01, 860.6906357688292, 860.3583962384588, 25.346115379333497, 16:8:37, 
1654877320.5319805, 0, 23.9986328125, 34.27771184743431, 859.9999412003417, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.02, 0.01, 0.00, 860.7060467532206, 860.4557120488188, 25.346115379333497, 16:8:37, 
1654877320.6059928, 0, 23.9986328125, 34.544791543825845, 860.0273527400221, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.01, -0.00, 860.6881956963005, 860.3583962384588, 25.346115379333497, 16:8:37, 
1654877320.67992, 0, 23.9935546875, 34.350127595364896, 860.0620801199896, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.02, 0.00, 860.6849850745524, 860.5530278591789, 25.346115379333497, 16:8:37, 
1654877320.753872, 0, 24.0037109375, 34.444701855784096, 860.0419839664376, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.07, 0.01, 0.01, 0.00, 860.6252675100359, 860.4557120488188, 25.346115379333497, 16:8:37, 
1654877320.8281984, 1, 24.0037109375, 34.427951687966086, 859.9798448354653, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.02, 0.02, 0.01, 860.6830587015033, 860.4557120488188, 25.346115379333497, 16:8:37, 
1654877320.9181988, 0, 24.0037109375, 34.49479727134749, 860.0346683398138, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.01, 0.01, 0.01, 860.6088291266851, 860.4281949637062, 25.328697776794435, 16:8:37, 
1654877320.9972816, 0, 24.0087890625, 34.450216769931885, 860.0145719831015, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.02, 0.01, 0.01, 860.7169628671643, 860.4557120488188, 25.346115379333497, 16:8:37, 
1654877321.071232, 0, 24.0037109375, 34.48361412160234, 859.952433111293, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.01, 0.01, 0.01, 860.7608841726797, 860.3583962384588, 25.346115379333497, 16:8:37, 
1654877321.145213, 1, 23.9986328125, 34.46129809423797, 860.0072565783057, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.01, 0.02, 0.01, 860.7056614786106, 860.4557120488188, 25.346115379333497, 16:8:37, 
1654877321.2191954, 1, 24.0037109375, 34.36115557397834, 860.0072565783057, -, -, -, -, -, -, -, -, -, -, 0.35, -0.29, 10.06, 0.01, 0.01, 0.01, 860.6960296133661, 860.3583962384588, 25.346115379333497, 16:8:37, 
